date,total_delays,total_cancellations
Jan. 1,  7284,  284
Jan. 2,  7368,  319
Jan. 3,  8189,  1125
Jan. 4,  8831,  483
Jan. 5,  7463,  316
Jan. 6,  3375,  138
Jan. 7,  2727,  165
Jan. 8,  4512,  100
Jan. 9,  3856,  94
Jan. 10,  4406,  70
Jan. 11,  4691,  127
Jan. 12,  2940,  88
Jan. 13,  1838,  82
Jan. 14,  4193,  246
Jan. 15,  4863,  376
Jan. 16,  5632,  263
Jan. 17,  4462,  138
Jan. 18,  6802,  541
Jan. 19,  6426,  246
Jan. 20,  3195,  121
Jan. 21,  3024,  108
Jan. 22,  3443,  120
Jan. 23,  4681,  682
Jan. 24,  4238,  4095
Jan. 25,  5515,  11596
Jan. 26,  7646,  6248
Jan. 27,  6091,  2689
Jan. 28,  4982,  962
Jan. 29,  4872,  216
Jan. 30,  5660,  716
Jan. 31,  4466,  2469
Feb. 1,  6093,  1502
Feb. 2,  5457,  297
Feb. 3,  2582,  83
Feb. 4,  2500,  52
Feb. 6,  4868,  154
Feb. 7,  4459,  209
Feb. 8,  3860,  181
Feb. 9,  3629,  102
Feb. 10,  2399,  75
Feb. 11,  3034,  88
Feb. 12,  4736,  84
Feb. 13,  5103,  121
Feb. 14,  4737,  454
Feb. 15,  6059,  329
Feb. 16,  7085,  273
Feb. 17,  5359,  306
Feb. 18,  5487,  383
Feb. 19,  6598,  183
Feb. 20,  7865,  253
Feb. 21,  5670,  234
Feb. 22,  7542,  3436
Feb. 23,  3982,  5717
Feb. 24,  4578,  2219
Feb. 25,  5979,  282
Feb. 26,  5275,  151
Feb. 27,  5522,  146
Feb. 28,  4226,  180
Mar. 1,  5212,  257
Mar. 2,  4194,  259
Mar. 3,  3295,  217
Mar. 4,  3353,  218
Mar. 5,  5718,  451
Mar. 6,  9389,  1265
Mar. 7,  9150,  1339
Mar. 8,  7959,  700
Mar. 9,  5022,  213
Mar. 11,  7725,  714
Mar. 12,  9844,  790
Mar. 13,  9395,  1223
Mar. 14,  7620,  836
Mar. 15,  9553,  3238
Mar. 16,  12313,  4859
Mar. 17,  9067,  1217
Mar. 18,  7072,  331
Mar. 19,  5171,  137
Mar. 20,  6235,  207
Mar. 21,  5294,  210
Mar. 23,  6105,  806
Mar. 24,  3809,  432
Mar. 25,  3829,  438
Mar. 26,  6782,  468
Mar. 27,  6564,  335
Mar. 28,  5137,  125
Mar. 29,  5494,  227
Mar. 30,  5173,  245
Mar. 31,  5675,  441
Apr. 1,  5952,  261
Apr. 2,  7939,  1053
Apr. 3,  6503,  556
Apr. 4,  5862,  482
Apr. 5,  6417,  371
Apr. 6,  6125,  234
Apr. 7,  4403,  125
Apr. 8,  4284,  78
Apr. 9,  4827,  172
Apr. 10,  5087,  151
Apr. 11,  3998,  133
Apr. 12,  6835,  203
Apr. 13,  5672,  211
Apr. 14,  4538,  242
Apr. 15,  4637,  285
Apr. 16,  6433,  227
Apr. 17,  7433,  570
Apr. 18,  4685,  124
Apr. 19,  6599,  106
Apr. 20,  5186,  146
Apr. 21,  3308,  62
Apr. 22,  3930,  71
Apr. 23,  5480,  102
Apr. 24,  5269,  84
Apr. 25,  3332,  105
Apr. 26,  6220,  112
Apr. 27,  7146,  620
Apr. 28,  5514,  530
Apr. 29,  5333,  139
Apr. 30,  7614,  152
May. 1,  6423,  392
May. 2,  4602,  605
May. 3,  5808,  584
May. 4,  5571,  607
May. 5,  3903,  305
May. 6,  5623,  294
May. 7,  6789,  84
May. 8,  5163,  78
May. 9,  3537,  80
May. 10,  5760,  666
May. 11,  5342,  192
May. 12,  3406,  58
May. 13,  4483,  82
May. 14,  5934,  155
May. 15,  5183,  131
May. 16,  3523,  103
May. 17,  6889,  192
May. 18,  8239,  482
May. 19,  6970,  1013
May. 20,  7456,  1101
May. 21,  8487,  395
May. 22,  8013,  134
May. 23,  5838,  155
May. 24,  6807,  422
May. 26,  6006,  137
May. 27,  6985,  165
May. 28,  5669,  196
May. 29,  5673,  142
May. 30,  4115,  172
May. 31,  5341,  122
Jun. 1,  6094,  112
Jun. 2,  4688,  352
Jun. 3,  4730,  169
Jun. 4,  5954,  93
Jun. 5,  5670,  97
Jun. 6,  5641,  308
Jun. 7,  8744,  639
Jun. 8,  7831,  390
Jun. 9,  4815,  111
Jun. 10,  7203,  931
Jun. 11,  8309,  1615
Jun. 12,  9441,  1487
Jun. 13,  6348,  493
Jun. 14,  11006,  1303
Jun. 15,  8433,  676
Jun. 16,  5099,  117
Jun. 17,  7084,  395
Jun. 18,  10806,  539
Jun. 19,  9611,  1404
Jun. 20,  7347,  335
